video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,32,trending_date,funny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,34,trending_date,sad,view_count,1626325,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,31,trending_date,reallyfunny,view_count,3821599,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,27,trending_date,reallyfunny,view_count,2891917,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,39,trending_date,sad,view_count,3732873,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,37,trending_date,reallyfunny,view_count,1510689,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,1,trending_date,funny,view_count,1534555,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,41,trending_date,reallyfunny,view_count,1259175,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,44,trending_date,sad,view_count,3678181,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,32,trending_date,funny,view_count,907406,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,32,trending_date,reallyfunny,view_count,309186,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,41,trending_date,reallyfunny,view_count,2137986,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 12,publishedAt,channelId,channelTitle,36,trending_date,sad,view_count,3880284,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
13,title 13,publishedAt,channelId,channelTitle,31,trending_date,reallyfunny,view_count,2681838,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 14,publishedAt,channelId,channelTitle,40,trending_date,funny,view_count,1191395,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 15,publishedAt,channelId,channelTitle,23,trending_date,reallyfunny,view_count,2207266,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,25,trending_date,reallyfunny,view_count,794533,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
17,title 17,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,1313888,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,40,trending_date,sad,view_count,240081,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
19,title 19,publishedAt,channelId,channelTitle,22,trending_date,sad,view_count,2005280,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 20,publishedAt,channelId,channelTitle,32,trending_date,reallyfunny,view_count,620090,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
21,title 21,publishedAt,channelId,channelTitle,43,trending_date,sad,view_count,3756423,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
22,title 22,publishedAt,channelId,channelTitle,44,trending_date,sad,view_count,3877,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
23,title 23,publishedAt,channelId,channelTitle,1,trending_date,funny,view_count,3632171,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
24,title 24,publishedAt,channelId,channelTitle,15,trending_date,funny,view_count,3562140,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
25,title 25,publishedAt,channelId,channelTitle,1,trending_date,funny,view_count,276035,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
26,title 26,publishedAt,channelId,channelTitle,19,trending_date,sad,view_count,256970,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
27,title 27,publishedAt,channelId,channelTitle,40,trending_date,funny,view_count,2829214,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
28,title 28,publishedAt,channelId,channelTitle,39,trending_date,sad,view_count,229956,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
29,title 29,publishedAt,channelId,channelTitle,43,trending_date,sad,view_count,1007133,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
30,title 30,publishedAt,channelId,channelTitle,34,trending_date,sad,view_count,2020680,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
31,title 31,publishedAt,channelId,channelTitle,32,trending_date,sad,view_count,2661326,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
32,title 32,publishedAt,channelId,channelTitle,1,trending_date,sad,view_count,2849940,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
33,title 33,publishedAt,channelId,channelTitle,32,trending_date,reallyfunny,view_count,3178134,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
34,title 34,publishedAt,channelId,channelTitle,44,trending_date,sad,view_count,2154238,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
35,title 35,publishedAt,channelId,channelTitle,30,trending_date,funny,view_count,2013622,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
36,title 36,publishedAt,channelId,channelTitle,42,trending_date,reallyfunny,view_count,46350,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
37,title 37,publishedAt,channelId,channelTitle,22,trending_date,reallyfunny,view_count,2961035,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
38,title 38,publishedAt,channelId,channelTitle,44,trending_date,funny,view_count,506880,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
39,title 39,publishedAt,channelId,channelTitle,43,trending_date,funny,view_count,3092796,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
40,title 40,publishedAt,channelId,channelTitle,32,trending_date,funny,view_count,1959666,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
41,title 41,publishedAt,channelId,channelTitle,42,trending_date,reallyfunny,view_count,1823867,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
42,title 42,publishedAt,channelId,channelTitle,34,trending_date,reallyfunny,view_count,821632,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
43,title 43,publishedAt,channelId,channelTitle,28,trending_date,funny,view_count,3843564,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
44,title 44,publishedAt,channelId,channelTitle,19,trending_date,reallyfunny,view_count,2975662,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
45,title 45,publishedAt,channelId,channelTitle,38,trending_date,funny,view_count,204943,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
46,title 46,publishedAt,channelId,channelTitle,21,trending_date,reallyfunny,view_count,554732,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
47,title 47,publishedAt,channelId,channelTitle,23,trending_date,sad,view_count,2084913,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
48,title 48,publishedAt,channelId,channelTitle,23,trending_date,sad,view_count,573825,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
49,title 49,publishedAt,channelId,channelTitle,15,trending_date,funny,view_count,1585542,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
50,title 50,publishedAt,channelId,channelTitle,43,trending_date,funny,view_count,3847143,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
51,title 51,publishedAt,channelId,channelTitle,25,trending_date,funny,view_count,2048984,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
52,title 52,publishedAt,channelId,channelTitle,38,trending_date,reallyfunny,view_count,1674371,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
53,title 53,publishedAt,channelId,channelTitle,30,trending_date,reallyfunny,view_count,2622224,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
54,title 54,publishedAt,channelId,channelTitle,41,trending_date,sad,view_count,1713299,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
55,title 55,publishedAt,channelId,channelTitle,44,trending_date,sad,view_count,2528366,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
56,title 56,publishedAt,channelId,channelTitle,10,trending_date,sad,view_count,497874,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
57,title 57,publishedAt,channelId,channelTitle,15,trending_date,sad,view_count,2699125,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
58,title 58,publishedAt,channelId,channelTitle,35,trending_date,funny,view_count,494157,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
59,title 59,publishedAt,channelId,channelTitle,38,trending_date,reallyfunny,view_count,1284916,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
60,title 60,publishedAt,channelId,channelTitle,42,trending_date,funny,view_count,2244541,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
61,title 61,publishedAt,channelId,channelTitle,22,trending_date,reallyfunny,view_count,2163183,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
62,title 62,publishedAt,channelId,channelTitle,19,trending_date,reallyfunny,view_count,723892,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
63,title 63,publishedAt,channelId,channelTitle,15,trending_date,funny,view_count,3780136,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
64,title 64,publishedAt,channelId,channelTitle,17,trending_date,reallyfunny,view_count,2603228,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
65,title 65,publishedAt,channelId,channelTitle,22,trending_date,sad,view_count,174919,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
66,title 66,publishedAt,channelId,channelTitle,36,trending_date,funny,view_count,632153,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
67,title 67,publishedAt,channelId,channelTitle,2,trending_date,sad,view_count,1539930,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
68,title 68,publishedAt,channelId,channelTitle,42,trending_date,funny,view_count,3200983,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
69,title 69,publishedAt,channelId,channelTitle,43,trending_date,reallyfunny,view_count,1027759,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
70,title 70,publishedAt,channelId,channelTitle,34,trending_date,funny,view_count,2294193,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
71,title 71,publishedAt,channelId,channelTitle,35,trending_date,funny,view_count,2248789,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
72,title 72,publishedAt,channelId,channelTitle,26,trending_date,reallyfunny,view_count,97052,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
73,title 73,publishedAt,channelId,channelTitle,2,trending_date,reallyfunny,view_count,3307984,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
74,title 74,publishedAt,channelId,channelTitle,17,trending_date,funny,view_count,2213744,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
75,title 75,publishedAt,channelId,channelTitle,15,trending_date,reallyfunny,view_count,2552921,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
76,title 76,publishedAt,channelId,channelTitle,37,trending_date,sad,view_count,228666,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
77,title 77,publishedAt,channelId,channelTitle,20,trending_date,sad,view_count,1195799,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
78,title 78,publishedAt,channelId,channelTitle,2,trending_date,sad,view_count,2855356,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
79,title 79,publishedAt,channelId,channelTitle,42,trending_date,funny,view_count,2462788,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
80,title 80,publishedAt,channelId,channelTitle,41,trending_date,funny,view_count,2177260,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
81,title 81,publishedAt,channelId,channelTitle,32,trending_date,sad,view_count,3737389,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
82,title 82,publishedAt,channelId,channelTitle,21,trending_date,reallyfunny,view_count,2940067,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
83,title 83,publishedAt,channelId,channelTitle,20,trending_date,sad,view_count,1569436,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
84,title 84,publishedAt,channelId,channelTitle,22,trending_date,sad,view_count,2827272,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
85,title 85,publishedAt,channelId,channelTitle,28,trending_date,reallyfunny,view_count,2641491,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
86,title 86,publishedAt,channelId,channelTitle,44,trending_date,reallyfunny,view_count,2291220,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
87,title 87,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,2376931,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
88,title 88,publishedAt,channelId,channelTitle,43,trending_date,reallyfunny,view_count,1172943,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
89,title 89,publishedAt,channelId,channelTitle,34,trending_date,sad,view_count,563348,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
90,title 90,publishedAt,channelId,channelTitle,44,trending_date,funny,view_count,1329835,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
91,title 91,publishedAt,channelId,channelTitle,18,trending_date,sad,view_count,60994,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
92,title 92,publishedAt,channelId,channelTitle,27,trending_date,reallyfunny,view_count,222379,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
93,title 93,publishedAt,channelId,channelTitle,22,trending_date,funny,view_count,1288103,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
94,title 94,publishedAt,channelId,channelTitle,20,trending_date,funny,view_count,536609,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
