video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,22,trending_date,funny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,39,trending_date,reallyfunny,view_count,1484286,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,18,trending_date,sad,view_count,2805039,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,32,trending_date,reallyfunny,view_count,3300102,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,24,trending_date,reallyfunny,view_count,2216443,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,26,trending_date,sad,view_count,3322519,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,30,trending_date,reallyfunny,view_count,3413038,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,30,trending_date,funny,view_count,3392224,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,26,trending_date,sad,view_count,704416,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,24,trending_date,sad,view_count,10381,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,18,trending_date,funny,view_count,274927,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,28,trending_date,reallyfunny,view_count,2935004,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 12,publishedAt,channelId,channelTitle,31,trending_date,funny,view_count,832601,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
13,title 13,publishedAt,channelId,channelTitle,40,trending_date,sad,view_count,133306,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 14,publishedAt,channelId,channelTitle,17,trending_date,funny,view_count,629245,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 15,publishedAt,channelId,channelTitle,17,trending_date,funny,view_count,898864,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,28,trending_date,funny,view_count,3345566,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
17,title 17,publishedAt,channelId,channelTitle,18,trending_date,sad,view_count,3534345,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,41,trending_date,reallyfunny,view_count,3761113,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
19,title 19,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,3145266,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 20,publishedAt,channelId,channelTitle,21,trending_date,reallyfunny,view_count,3034869,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
21,title 21,publishedAt,channelId,channelTitle,18,trending_date,reallyfunny,view_count,812257,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
22,title 22,publishedAt,channelId,channelTitle,17,trending_date,reallyfunny,view_count,3394241,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
23,title 23,publishedAt,channelId,channelTitle,43,trending_date,funny,view_count,2325275,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
24,title 24,publishedAt,channelId,channelTitle,28,trending_date,reallyfunny,view_count,2823768,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
25,title 25,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,962827,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
26,title 26,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,766054,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
27,title 27,publishedAt,channelId,channelTitle,31,trending_date,funny,view_count,3387899,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
28,title 28,publishedAt,channelId,channelTitle,33,trending_date,reallyfunny,view_count,2462981,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
29,title 29,publishedAt,channelId,channelTitle,30,trending_date,funny,view_count,3044286,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
30,title 30,publishedAt,channelId,channelTitle,25,trending_date,reallyfunny,view_count,3329674,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
31,title 31,publishedAt,channelId,channelTitle,37,trending_date,reallyfunny,view_count,1071226,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
32,title 32,publishedAt,channelId,channelTitle,21,trending_date,sad,view_count,470203,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
33,title 33,publishedAt,channelId,channelTitle,35,trending_date,funny,view_count,541886,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
34,title 34,publishedAt,channelId,channelTitle,20,trending_date,reallyfunny,view_count,2830326,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
35,title 35,publishedAt,channelId,channelTitle,34,trending_date,reallyfunny,view_count,2518825,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
36,title 36,publishedAt,channelId,channelTitle,18,trending_date,reallyfunny,view_count,2419642,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
37,title 37,publishedAt,channelId,channelTitle,33,trending_date,sad,view_count,2006808,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
38,title 38,publishedAt,channelId,channelTitle,43,trending_date,sad,view_count,3009541,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
39,title 39,publishedAt,channelId,channelTitle,26,trending_date,reallyfunny,view_count,647331,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
40,title 40,publishedAt,channelId,channelTitle,15,trending_date,reallyfunny,view_count,1413647,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
41,title 41,publishedAt,channelId,channelTitle,41,trending_date,sad,view_count,3595955,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
42,title 42,publishedAt,channelId,channelTitle,24,trending_date,funny,view_count,1015651,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
43,title 43,publishedAt,channelId,channelTitle,23,trending_date,reallyfunny,view_count,962271,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
44,title 44,publishedAt,channelId,channelTitle,20,trending_date,funny,view_count,3561619,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
45,title 45,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,3675460,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
46,title 46,publishedAt,channelId,channelTitle,26,trending_date,sad,view_count,1153230,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
47,title 47,publishedAt,channelId,channelTitle,30,trending_date,sad,view_count,2944866,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
48,title 48,publishedAt,channelId,channelTitle,26,trending_date,sad,view_count,563983,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
49,title 49,publishedAt,channelId,channelTitle,36,trending_date,reallyfunny,view_count,2342636,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
50,title 50,publishedAt,channelId,channelTitle,38,trending_date,sad,view_count,2298031,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
51,title 51,publishedAt,channelId,channelTitle,34,trending_date,reallyfunny,view_count,3552214,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
52,title 52,publishedAt,channelId,channelTitle,44,trending_date,reallyfunny,view_count,3857070,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
53,title 53,publishedAt,channelId,channelTitle,30,trending_date,reallyfunny,view_count,2118331,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
54,title 54,publishedAt,channelId,channelTitle,17,trending_date,sad,view_count,3415952,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
55,title 55,publishedAt,channelId,channelTitle,32,trending_date,funny,view_count,2038921,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
56,title 56,publishedAt,channelId,channelTitle,15,trending_date,reallyfunny,view_count,1223475,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
57,title 57,publishedAt,channelId,channelTitle,25,trending_date,funny,view_count,3444401,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
58,title 58,publishedAt,channelId,channelTitle,22,trending_date,reallyfunny,view_count,3118213,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
59,title 59,publishedAt,channelId,channelTitle,28,trending_date,funny,view_count,1016259,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
60,title 60,publishedAt,channelId,channelTitle,17,trending_date,funny,view_count,2050343,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
61,title 61,publishedAt,channelId,channelTitle,28,trending_date,reallyfunny,view_count,82036,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
62,title 62,publishedAt,channelId,channelTitle,21,trending_date,sad,view_count,1520804,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
63,title 63,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,1123815,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
64,title 64,publishedAt,channelId,channelTitle,28,trending_date,reallyfunny,view_count,293406,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
65,title 65,publishedAt,channelId,channelTitle,36,trending_date,funny,view_count,3392811,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
66,title 66,publishedAt,channelId,channelTitle,1,trending_date,sad,view_count,2668313,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
67,title 67,publishedAt,channelId,channelTitle,44,trending_date,funny,view_count,1727506,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
68,title 68,publishedAt,channelId,channelTitle,34,trending_date,funny,view_count,2523099,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
69,title 69,publishedAt,channelId,channelTitle,38,trending_date,funny,view_count,363865,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
70,title 70,publishedAt,channelId,channelTitle,37,trending_date,funny,view_count,1977540,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
71,title 71,publishedAt,channelId,channelTitle,15,trending_date,reallyfunny,view_count,1912817,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
72,title 72,publishedAt,channelId,channelTitle,39,trending_date,funny,view_count,1004462,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
73,title 73,publishedAt,channelId,channelTitle,22,trending_date,reallyfunny,view_count,1936653,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
74,title 74,publishedAt,channelId,channelTitle,17,trending_date,funny,view_count,3424873,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
75,title 75,publishedAt,channelId,channelTitle,27,trending_date,funny,view_count,2652858,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
76,title 76,publishedAt,channelId,channelTitle,43,trending_date,funny,view_count,295737,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
77,title 77,publishedAt,channelId,channelTitle,26,trending_date,sad,view_count,1798556,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
78,title 78,publishedAt,channelId,channelTitle,1,trending_date,sad,view_count,1468401,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
79,title 79,publishedAt,channelId,channelTitle,43,trending_date,reallyfunny,view_count,2365227,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
80,title 80,publishedAt,channelId,channelTitle,18,trending_date,funny,view_count,2834735,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
81,title 81,publishedAt,channelId,channelTitle,27,trending_date,reallyfunny,view_count,278100,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
82,title 82,publishedAt,channelId,channelTitle,17,trending_date,sad,view_count,2108119,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
83,title 83,publishedAt,channelId,channelTitle,31,trending_date,reallyfunny,view_count,3138058,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
84,title 84,publishedAt,channelId,channelTitle,35,trending_date,reallyfunny,view_count,1084044,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
85,title 85,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,403567,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
86,title 86,publishedAt,channelId,channelTitle,2,trending_date,reallyfunny,view_count,2158084,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
87,title 87,publishedAt,channelId,channelTitle,38,trending_date,reallyfunny,view_count,1165162,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
88,title 88,publishedAt,channelId,channelTitle,21,trending_date,sad,view_count,2311101,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
89,title 89,publishedAt,channelId,channelTitle,18,trending_date,reallyfunny,view_count,1975342,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
90,title 90,publishedAt,channelId,channelTitle,41,trending_date,funny,view_count,2206618,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
91,title 91,publishedAt,channelId,channelTitle,19,trending_date,reallyfunny,view_count,201805,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
92,title 92,publishedAt,channelId,channelTitle,26,trending_date,reallyfunny,view_count,2136048,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
93,title 93,publishedAt,channelId,channelTitle,31,trending_date,reallyfunny,view_count,213432,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
94,title 94,publishedAt,channelId,channelTitle,37,trending_date,reallyfunny,view_count,1571194,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
95,title 95,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,2676980,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
96,title 96,publishedAt,channelId,channelTitle,1,trending_date,funny,view_count,1410505,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
97,title 97,publishedAt,channelId,channelTitle,25,trending_date,funny,view_count,3265627,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
98,title 98,publishedAt,channelId,channelTitle,42,trending_date,reallyfunny,view_count,2795242,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
99,title 99,publishedAt,channelId,channelTitle,21,trending_date,reallyfunny,view_count,1195593,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
100,title 100,publishedAt,channelId,channelTitle,38,trending_date,reallyfunny,view_count,2023098,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
101,title 101,publishedAt,channelId,channelTitle,40,trending_date,sad,view_count,2555113,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
