video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,36,trending_date,reallyfunny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,2,trending_date,sad,view_count,1660978,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,28,trending_date,sad,view_count,52304,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,35,trending_date,sad,view_count,1718677,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,34,trending_date,funny,view_count,2426014,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,41,trending_date,sad,view_count,2053971,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,37,trending_date,reallyfunny,view_count,1335887,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,27,trending_date,funny,view_count,3609928,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,36,trending_date,reallyfunny,view_count,1440884,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,1,trending_date,sad,view_count,2090230,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,24,trending_date,reallyfunny,view_count,3674588,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,35,trending_date,reallyfunny,view_count,3652331,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 12,publishedAt,channelId,channelTitle,44,trending_date,reallyfunny,view_count,883299,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
13,title 13,publishedAt,channelId,channelTitle,33,trending_date,sad,view_count,3823511,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 14,publishedAt,channelId,channelTitle,20,trending_date,funny,view_count,1056249,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 15,publishedAt,channelId,channelTitle,44,trending_date,funny,view_count,674209,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,27,trending_date,reallyfunny,view_count,3086107,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
17,title 17,publishedAt,channelId,channelTitle,36,trending_date,funny,view_count,2202064,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,32,trending_date,funny,view_count,2504131,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
19,title 19,publishedAt,channelId,channelTitle,39,trending_date,reallyfunny,view_count,3202921,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 20,publishedAt,channelId,channelTitle,38,trending_date,funny,view_count,2531095,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
21,title 21,publishedAt,channelId,channelTitle,37,trending_date,reallyfunny,view_count,210482,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
22,title 22,publishedAt,channelId,channelTitle,34,trending_date,funny,view_count,3778167,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
23,title 23,publishedAt,channelId,channelTitle,33,trending_date,sad,view_count,3471136,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
24,title 24,publishedAt,channelId,channelTitle,44,trending_date,sad,view_count,2925398,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
25,title 25,publishedAt,channelId,channelTitle,30,trending_date,reallyfunny,view_count,2806824,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
26,title 26,publishedAt,channelId,channelTitle,19,trending_date,funny,view_count,827778,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
27,title 27,publishedAt,channelId,channelTitle,40,trending_date,sad,view_count,3033761,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
28,title 28,publishedAt,channelId,channelTitle,42,trending_date,funny,view_count,322852,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
29,title 29,publishedAt,channelId,channelTitle,1,trending_date,funny,view_count,3590754,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
30,title 30,publishedAt,channelId,channelTitle,24,trending_date,reallyfunny,view_count,208842,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
31,title 31,publishedAt,channelId,channelTitle,39,trending_date,sad,view_count,1898750,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
