video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,40,trending_date,reallyfunny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,43,trending_date,funny,view_count,3827303,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,31,trending_date,sad,view_count,3100668,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,43,trending_date,sad,view_count,699895,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,33,trending_date,reallyfunny,view_count,2836577,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,30,trending_date,sad,view_count,3162271,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,23,trending_date,sad,view_count,1037720,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,17,trending_date,reallyfunny,view_count,2134890,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,42,trending_date,reallyfunny,view_count,2954549,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,17,trending_date,sad,view_count,1036914,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,42,trending_date,sad,view_count,2563247,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,1,trending_date,reallyfunny,view_count,1629316,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 12,publishedAt,channelId,channelTitle,37,trending_date,sad,view_count,2837648,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
13,title 13,publishedAt,channelId,channelTitle,18,trending_date,reallyfunny,view_count,1095373,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 14,publishedAt,channelId,channelTitle,32,trending_date,funny,view_count,2482362,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 15,publishedAt,channelId,channelTitle,43,trending_date,funny,view_count,2882759,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,36,trending_date,funny,view_count,3262995,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
17,title 17,publishedAt,channelId,channelTitle,34,trending_date,reallyfunny,view_count,1622656,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,36,trending_date,reallyfunny,view_count,2584018,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
19,title 19,publishedAt,channelId,channelTitle,20,trending_date,reallyfunny,view_count,3906361,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 20,publishedAt,channelId,channelTitle,25,trending_date,funny,view_count,3101085,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
21,title 21,publishedAt,channelId,channelTitle,19,trending_date,funny,view_count,3141052,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
22,title 22,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,165863,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
23,title 23,publishedAt,channelId,channelTitle,27,trending_date,funny,view_count,1662001,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
24,title 24,publishedAt,channelId,channelTitle,17,trending_date,reallyfunny,view_count,3015193,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
