video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,42,trending_date,sad,view_count,3694262,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,19,trending_date,funny,view_count,3600274,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,1,trending_date,reallyfunny,view_count,2576001,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,17,trending_date,reallyfunny,view_count,292059,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,21,trending_date,sad,view_count,3539181,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,17,trending_date,funny,view_count,1905583,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,32,trending_date,sad,view_count,3188099,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,38,trending_date,reallyfunny,view_count,1602090,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,20,trending_date,funny,view_count,1626610,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,10,trending_date,funny,view_count,102761,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,28,trending_date,funny,view_count,10374,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 12,publishedAt,channelId,channelTitle,25,trending_date,reallyfunny,view_count,2348297,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
13,title 13,publishedAt,channelId,channelTitle,38,trending_date,funny,view_count,3948366,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 14,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,3541925,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 15,publishedAt,channelId,channelTitle,35,trending_date,sad,view_count,2315471,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,22,trending_date,funny,view_count,456518,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
17,title 17,publishedAt,channelId,channelTitle,30,trending_date,reallyfunny,view_count,2562594,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,38,trending_date,reallyfunny,view_count,3027543,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
19,title 19,publishedAt,channelId,channelTitle,22,trending_date,sad,view_count,1451020,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 20,publishedAt,channelId,channelTitle,33,trending_date,funny,view_count,1704698,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
