video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,40,trending_date,reallyfunny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,22,trending_date,funny,view_count,1197044,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,21,trending_date,sad,view_count,1643594,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,2,trending_date,reallyfunny,view_count,1576687,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,38,trending_date,sad,view_count,3152628,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,18,trending_date,sad,view_count,3948909,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,25,trending_date,sad,view_count,1156278,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,37,trending_date,reallyfunny,view_count,2678795,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,1,trending_date,reallyfunny,view_count,863029,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,44,trending_date,funny,view_count,1027935,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,44,trending_date,sad,view_count,3129285,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,19,trending_date,funny,view_count,660134,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
