video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,30,trending_date,reallyfunny,view_count,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1,title 1,publishedAt,channelId,channelTitle,24,trending_date,reallyfunny,view_count,54114,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 2,publishedAt,channelId,channelTitle,15,trending_date,reallyfunny,view_count,3366041,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 3,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,3314773,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 4,publishedAt,channelId,channelTitle,30,trending_date,funny,view_count,3788384,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
5,title 5,publishedAt,channelId,channelTitle,38,trending_date,sad,view_count,1883121,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,33,trending_date,sad,view_count,1935899,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 7,publishedAt,channelId,channelTitle,17,trending_date,sad,view_count,3625809,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 8,publishedAt,channelId,channelTitle,36,trending_date,sad,view_count,3025143,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
9,title 9,publishedAt,channelId,channelTitle,23,trending_date,sad,view_count,647855,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
10,title 10,publishedAt,channelId,channelTitle,21,trending_date,funny,view_count,2149060,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 11,publishedAt,channelId,channelTitle,19,trending_date,reallyfunny,view_count,2568765,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 12,publishedAt,channelId,channelTitle,21,trending_date,sad,view_count,1852089,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
13,title 13,publishedAt,channelId,channelTitle,28,trending_date,sad,view_count,294504,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 14,publishedAt,channelId,channelTitle,32,trending_date,sad,view_count,3208253,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 15,publishedAt,channelId,channelTitle,10,trending_date,reallyfunny,view_count,870338,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,18,trending_date,reallyfunny,view_count,3412747,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
17,title 17,publishedAt,channelId,channelTitle,15,trending_date,sad,view_count,881617,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,21,trending_date,funny,view_count,3921667,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
19,title 19,publishedAt,channelId,channelTitle,2,trending_date,sad,view_count,692647,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 20,publishedAt,channelId,channelTitle,20,trending_date,funny,view_count,2936332,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
21,title 21,publishedAt,channelId,channelTitle,25,trending_date,reallyfunny,view_count,2172142,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
22,title 22,publishedAt,channelId,channelTitle,20,trending_date,funny,view_count,1331211,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
23,title 23,publishedAt,channelId,channelTitle,42,trending_date,funny,view_count,1275943,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
24,title 24,publishedAt,channelId,channelTitle,15,trending_date,reallyfunny,view_count,2840599,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
25,title 25,publishedAt,channelId,channelTitle,34,trending_date,reallyfunny,view_count,2430724,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
