video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
43,title 0,publishedAt,channelId,channelTitle,18,2022-04-04T00:00:00Z,funny,14860,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
6,title 1,publishedAt,channelId,channelTitle,23,2022-08-11T00:00:00Z,funny,12095,3066951,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
37,title 2,publishedAt,channelId,channelTitle,1,2022-09-02T00:00:00Z,sad,8614,2433631,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
46,title 3,publishedAt,channelId,channelTitle,18,2022-04-15T00:00:00Z,reallyfunny,1398,1726896,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
49,title 4,publishedAt,channelId,channelTitle,17,2022-02-25T00:00:00Z,reallyfunny,8238,1424116,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
44,title 5,publishedAt,channelId,channelTitle,44,2022-06-07T00:00:00Z,funny,956,543353,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
60,title 6,publishedAt,channelId,channelTitle,21,2022-02-27T00:00:00Z,funny,6852,3279153,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
29,title 7,publishedAt,channelId,channelTitle,26,2022-02-02T00:00:00Z,sad,14302,2481271,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
45,title 8,publishedAt,channelId,channelTitle,27,2022-03-22T00:00:00Z,funny,12137,1550397,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
10,title 9,publishedAt,channelId,channelTitle,20,2022-05-30T00:00:00Z,sad,7806,1058702,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
