video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 0,publishedAt,channelId,channelTitle,37,2022-04-13T00:00:00Z,reallyfunny,5660,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
19,title 1,publishedAt,channelId,channelTitle,39,2022-01-28T00:00:00Z,funny,2419,229314,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
23,title 2,publishedAt,channelId,channelTitle,19,2022-06-28T00:00:00Z,sad,1939,3349362,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
13,title 3,publishedAt,channelId,channelTitle,27,2021-12-30T00:00:00Z,funny,5562,3343359,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
15,title 4,publishedAt,channelId,channelTitle,1,2022-04-28T00:00:00Z,funny,1404,2444482,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
4,title 5,publishedAt,channelId,channelTitle,1,2022-08-14T00:00:00Z,reallyfunny,13718,3230704,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
49,title 6,publishedAt,channelId,channelTitle,43,2022-03-18T00:00:00Z,funny,16658,3830161,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
18,title 7,publishedAt,channelId,channelTitle,22,2022-08-09T00:00:00Z,reallyfunny,7165,2077398,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
55,title 8,publishedAt,channelId,channelTitle,32,2022-10-16T00:00:00Z,funny,19980,2039940,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
26,title 9,publishedAt,channelId,channelTitle,32,2021-12-22T00:00:00Z,funny,14297,102841,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
58,title 10,publishedAt,channelId,channelTitle,10,2022-04-15T00:00:00Z,sad,14024,542997,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
3,title 11,publishedAt,channelId,channelTitle,40,2022-07-12T00:00:00Z,funny,4259,3589496,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
3,title 12,publishedAt,channelId,channelTitle,31,2022-02-17T00:00:00Z,sad,16326,708227,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
16,title 13,publishedAt,channelId,channelTitle,24,2022-10-04T00:00:00Z,funny,8965,878814,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
10,title 14,publishedAt,channelId,channelTitle,42,2022-02-21T00:00:00Z,funny,7991,905498,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
49,title 15,publishedAt,channelId,channelTitle,19,2022-10-01T00:00:00Z,sad,2114,3984748,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
50,title 16,publishedAt,channelId,channelTitle,39,2022-08-11T00:00:00Z,sad,3286,2075342,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
38,title 17,publishedAt,channelId,channelTitle,19,2022-11-14T00:00:00Z,funny,14901,1751823,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,24,2022-03-05T00:00:00Z,sad,1198,3971475,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
