video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
51,title 0,publishedAt,channelId,channelTitle,37,2022-08-09T00:00:00Z,funny,4905,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
31,title 1,publishedAt,channelId,channelTitle,25,2022-06-04T00:00:00Z,sad,4849,861271,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
53,title 2,publishedAt,channelId,channelTitle,39,2022-06-13T00:00:00Z,funny,9154,793265,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
36,title 3,publishedAt,channelId,channelTitle,39,2022-08-29T00:00:00Z,funny,8566,2219371,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
7,title 4,publishedAt,channelId,channelTitle,35,2022-04-03T00:00:00Z,sad,17859,2167992,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
23,title 5,publishedAt,channelId,channelTitle,34,2022-11-12T00:00:00Z,funny,7158,3208336,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
34,title 6,publishedAt,channelId,channelTitle,39,2022-03-23T00:00:00Z,sad,9306,3116750,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
32,title 7,publishedAt,channelId,channelTitle,22,2022-07-29T00:00:00Z,reallyfunny,8035,3152565,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
25,title 8,publishedAt,channelId,channelTitle,17,2022-02-06T00:00:00Z,sad,9349,2247135,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
24,title 9,publishedAt,channelId,channelTitle,44,2022-09-06T00:00:00Z,funny,8076,185290,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
57,title 10,publishedAt,channelId,channelTitle,36,2022-04-29T00:00:00Z,funny,18536,537157,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
47,title 11,publishedAt,channelId,channelTitle,31,2022-02-05T00:00:00Z,funny,3508,1587714,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
36,title 12,publishedAt,channelId,channelTitle,26,2022-06-14T00:00:00Z,sad,2351,3177142,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
5,title 13,publishedAt,channelId,channelTitle,39,2022-07-22T00:00:00Z,reallyfunny,14135,2186333,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
43,title 14,publishedAt,channelId,channelTitle,23,2022-02-12T00:00:00Z,sad,5257,1872598,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
5,title 15,publishedAt,channelId,channelTitle,37,2022-09-25T00:00:00Z,reallyfunny,871,846073,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
45,title 16,publishedAt,channelId,channelTitle,15,2022-03-11T00:00:00Z,reallyfunny,5779,3229942,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
53,title 17,publishedAt,channelId,channelTitle,43,2021-12-08T00:00:00Z,sad,11385,3569310,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
31,title 18,publishedAt,channelId,channelTitle,2,2021-12-03T00:00:00Z,reallyfunny,13814,1491898,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
52,title 19,publishedAt,channelId,channelTitle,38,2022-06-08T00:00:00Z,funny,10265,524100,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
