video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
45,title 0,publishedAt,channelId,channelTitle,31,2022-09-26T00:00:00Z,reallyfunny,4400,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
17,title 1,publishedAt,channelId,channelTitle,27,2022-08-08T00:00:00Z,funny,7868,433918,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
34,title 2,publishedAt,channelId,channelTitle,20,2022-01-01T00:00:00Z,reallyfunny,4553,3249159,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
34,title 3,publishedAt,channelId,channelTitle,24,2022-03-07T00:00:00Z,sad,623,338724,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
37,title 4,publishedAt,channelId,channelTitle,27,2021-12-18T00:00:00Z,funny,9617,2888612,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
20,title 5,publishedAt,channelId,channelTitle,38,2021-12-03T00:00:00Z,funny,1934,494856,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
57,title 6,publishedAt,channelId,channelTitle,1,2022-01-14T00:00:00Z,reallyfunny,19174,3279345,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
30,title 7,publishedAt,channelId,channelTitle,18,2022-07-06T00:00:00Z,sad,9701,1795818,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
48,title 8,publishedAt,channelId,channelTitle,43,2022-09-24T00:00:00Z,funny,9055,445573,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
59,title 9,publishedAt,channelId,channelTitle,36,2022-05-05T00:00:00Z,reallyfunny,16244,679096,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
