video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 0,publishedAt,channelId,channelTitle,41,2022-05-18T00:00:00Z,funny,247,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
17,title 1,publishedAt,channelId,channelTitle,21,2022-03-08T00:00:00Z,funny,7781,628723,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
37,title 2,publishedAt,channelId,channelTitle,38,2022-07-10T00:00:00Z,funny,13604,2283110,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
45,title 3,publishedAt,channelId,channelTitle,1,2022-05-11T00:00:00Z,funny,6288,3304768,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
51,title 4,publishedAt,channelId,channelTitle,2,2022-08-09T00:00:00Z,reallyfunny,10869,3218219,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
14,title 5,publishedAt,channelId,channelTitle,36,2022-10-25T00:00:00Z,sad,13825,1238878,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
45,title 6,publishedAt,channelId,channelTitle,18,2022-07-03T00:00:00Z,sad,7,2018383,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
59,title 7,publishedAt,channelId,channelTitle,21,2022-08-13T00:00:00Z,funny,12883,2762397,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
6,title 8,publishedAt,channelId,channelTitle,30,2022-01-04T00:00:00Z,funny,12043,385955,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
56,title 9,publishedAt,channelId,channelTitle,24,2022-11-07T00:00:00Z,funny,10016,2431102,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
23,title 10,publishedAt,channelId,channelTitle,17,2021-12-11T00:00:00Z,reallyfunny,15020,456943,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
40,title 11,publishedAt,channelId,channelTitle,43,2022-03-27T00:00:00Z,sad,7990,3073161,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
