video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
23,title 0,publishedAt,channelId,channelTitle,24,2022-05-03T00:00:00Z,funny,4616,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
6,title 1,publishedAt,channelId,channelTitle,15,2022-06-01T00:00:00Z,sad,3682,2401135,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
47,title 2,publishedAt,channelId,channelTitle,40,2022-06-13T00:00:00Z,reallyfunny,14811,683268,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
58,title 3,publishedAt,channelId,channelTitle,20,2022-07-17T00:00:00Z,reallyfunny,12845,3190244,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
18,title 4,publishedAt,channelId,channelTitle,18,2021-11-25T00:00:00Z,funny,673,440013,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
24,title 5,publishedAt,channelId,channelTitle,24,2022-04-08T00:00:00Z,sad,4020,3746882,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
6,title 6,publishedAt,channelId,channelTitle,36,2022-06-29T00:00:00Z,sad,18325,626852,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
22,title 7,publishedAt,channelId,channelTitle,25,2022-10-31T00:00:00Z,funny,12583,1193845,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
17,title 8,publishedAt,channelId,channelTitle,44,2022-11-04T00:00:00Z,reallyfunny,845,21729,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
55,title 9,publishedAt,channelId,channelTitle,28,2022-03-05T00:00:00Z,funny,15928,1749358,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
54,title 10,publishedAt,channelId,channelTitle,40,2022-11-13T00:00:00Z,sad,16663,1060986,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
25,title 11,publishedAt,channelId,channelTitle,37,2022-07-15T00:00:00Z,funny,19339,2663395,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
7,title 12,publishedAt,channelId,channelTitle,28,2022-08-20T00:00:00Z,reallyfunny,1153,134037,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
