video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
11,title 0,publishedAt,channelId,channelTitle,15,2022-07-29T00:00:00Z,sad,14268,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
18,title 1,publishedAt,channelId,channelTitle,20,2022-08-12T00:00:00Z,reallyfunny,19411,1263753,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
41,title 2,publishedAt,channelId,channelTitle,1,2022-06-20T00:00:00Z,funny,3031,1818215,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
22,title 3,publishedAt,channelId,channelTitle,15,2022-01-30T00:00:00Z,sad,5051,3626128,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
13,title 4,publishedAt,channelId,channelTitle,36,2022-07-19T00:00:00Z,sad,1430,3346377,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
10,title 5,publishedAt,channelId,channelTitle,36,2022-09-21T00:00:00Z,sad,9854,959286,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
35,title 6,publishedAt,channelId,channelTitle,40,2022-11-07T00:00:00Z,funny,10708,3773982,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
58,title 7,publishedAt,channelId,channelTitle,10,2022-05-16T00:00:00Z,funny,17393,1872655,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
36,title 8,publishedAt,channelId,channelTitle,25,2022-05-11T00:00:00Z,funny,11411,2705281,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
57,title 9,publishedAt,channelId,channelTitle,37,2022-10-10T00:00:00Z,reallyfunny,19429,46132,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
50,title 10,publishedAt,channelId,channelTitle,36,2022-05-09T00:00:00Z,reallyfunny,5432,2422349,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
21,title 11,publishedAt,channelId,channelTitle,36,2022-02-28T00:00:00Z,sad,12067,756859,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
