video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
55,title 0,publishedAt,channelId,channelTitle,1,2022-07-18T00:00:00Z,reallyfunny,10410,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
9,title 1,publishedAt,channelId,channelTitle,27,2022-02-06T00:00:00Z,reallyfunny,9831,324977,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
50,title 2,publishedAt,channelId,channelTitle,28,2022-02-24T00:00:00Z,funny,4769,1509098,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
14,title 3,publishedAt,channelId,channelTitle,34,2021-12-17T00:00:00Z,funny,4738,3290313,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
50,title 4,publishedAt,channelId,channelTitle,42,2021-12-20T00:00:00Z,funny,7049,760095,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
32,title 5,publishedAt,channelId,channelTitle,25,2022-07-31T00:00:00Z,funny,11444,3824264,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
41,title 6,publishedAt,channelId,channelTitle,41,2022-05-10T00:00:00Z,reallyfunny,19780,1724595,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
16,title 7,publishedAt,channelId,channelTitle,25,2022-08-07T00:00:00Z,reallyfunny,12190,3859040,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
15,title 8,publishedAt,channelId,channelTitle,24,2022-10-29T00:00:00Z,reallyfunny,11088,884001,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
3,title 9,publishedAt,channelId,channelTitle,41,2022-01-30T00:00:00Z,reallyfunny,107,3071741,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
0,title 10,publishedAt,channelId,channelTitle,24,2022-09-29T00:00:00Z,funny,12149,994368,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 11,publishedAt,channelId,channelTitle,24,2022-03-14T00:00:00Z,sad,11607,3849807,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 12,publishedAt,channelId,channelTitle,38,2022-02-28T00:00:00Z,sad,6517,2179421,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
51,title 13,publishedAt,channelId,channelTitle,18,2022-10-20T00:00:00Z,funny,16007,287552,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
43,title 14,publishedAt,channelId,channelTitle,20,2022-08-12T00:00:00Z,sad,5192,1884067,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
