video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
15,title 0,publishedAt,channelId,channelTitle,2,2022-05-07T00:00:00Z,sad,8877,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
10,title 1,publishedAt,channelId,channelTitle,26,2022-08-24T00:00:00Z,sad,1286,204748,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
9,title 2,publishedAt,channelId,channelTitle,1,2022-01-07T00:00:00Z,funny,9578,2737115,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
37,title 3,publishedAt,channelId,channelTitle,34,2022-10-12T00:00:00Z,sad,3257,1647626,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
32,title 4,publishedAt,channelId,channelTitle,2,2022-11-04T00:00:00Z,reallyfunny,3950,2459636,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
7,title 5,publishedAt,channelId,channelTitle,18,2022-09-03T00:00:00Z,reallyfunny,1970,2805864,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
41,title 6,publishedAt,channelId,channelTitle,17,2022-01-04T00:00:00Z,reallyfunny,1807,2924440,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
3,title 7,publishedAt,channelId,channelTitle,24,2022-11-17T00:00:00Z,reallyfunny,7140,3837683,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
4,title 8,publishedAt,channelId,channelTitle,20,2022-05-23T00:00:00Z,sad,15468,368578,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
47,title 9,publishedAt,channelId,channelTitle,28,2022-02-20T00:00:00Z,reallyfunny,18177,1918861,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
35,title 10,publishedAt,channelId,channelTitle,22,2022-10-10T00:00:00Z,sad,10811,3813324,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
16,title 11,publishedAt,channelId,channelTitle,25,2022-09-17T00:00:00Z,sad,11225,772502,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
33,title 12,publishedAt,channelId,channelTitle,26,2022-10-25T00:00:00Z,reallyfunny,18754,3440122,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
27,title 13,publishedAt,channelId,channelTitle,25,2022-10-15T00:00:00Z,reallyfunny,19921,1575763,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
18,title 14,publishedAt,channelId,channelTitle,41,2022-06-20T00:00:00Z,reallyfunny,12769,1477597,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
11,title 15,publishedAt,channelId,channelTitle,41,2022-06-29T00:00:00Z,funny,12316,1402335,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
53,title 16,publishedAt,channelId,channelTitle,36,2021-12-07T00:00:00Z,funny,6333,2795125,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
