video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
4,title 0,publishedAt,channelId,channelTitle,2,2021-12-29T00:00:00Z,reallyfunny,3840,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
43,title 1,publishedAt,channelId,channelTitle,44,2022-05-29T00:00:00Z,funny,18729,3352961,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
57,title 2,publishedAt,channelId,channelTitle,10,2022-04-15T00:00:00Z,sad,1840,3908218,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
56,title 3,publishedAt,channelId,channelTitle,21,2022-06-17T00:00:00Z,reallyfunny,2034,507798,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
39,title 4,publishedAt,channelId,channelTitle,27,2022-09-29T00:00:00Z,funny,6971,1495236,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
60,title 5,publishedAt,channelId,channelTitle,32,2022-07-19T00:00:00Z,reallyfunny,2655,3754803,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
41,title 6,publishedAt,channelId,channelTitle,38,2022-04-11T00:00:00Z,sad,14687,281400,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
9,title 7,publishedAt,channelId,channelTitle,15,2022-06-15T00:00:00Z,funny,6845,1302798,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
27,title 8,publishedAt,channelId,channelTitle,39,2022-01-28T00:00:00Z,reallyfunny,1956,481079,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
8,title 9,publishedAt,channelId,channelTitle,37,2022-07-23T00:00:00Z,reallyfunny,1309,1975064,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
17,title 10,publishedAt,channelId,channelTitle,33,2022-05-18T00:00:00Z,reallyfunny,11537,2214761,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
37,title 11,publishedAt,channelId,channelTitle,39,2022-05-26T00:00:00Z,reallyfunny,11778,3736589,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
24,title 12,publishedAt,channelId,channelTitle,27,2022-04-02T00:00:00Z,reallyfunny,7586,3112926,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
22,title 13,publishedAt,channelId,channelTitle,24,2022-10-11T00:00:00Z,reallyfunny,1024,585069,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
50,title 14,publishedAt,channelId,channelTitle,27,2022-05-16T00:00:00Z,sad,19323,2336315,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
55,title 15,publishedAt,channelId,channelTitle,42,2021-12-29T00:00:00Z,reallyfunny,6777,1239036,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
37,title 16,publishedAt,channelId,channelTitle,30,2022-01-21T00:00:00Z,funny,8796,3138082,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
13,title 17,publishedAt,channelId,channelTitle,22,2022-05-02T00:00:00Z,funny,4200,285053,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
18,title 18,publishedAt,channelId,channelTitle,18,2022-05-09T00:00:00Z,sad,18009,699466,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
42,title 19,publishedAt,channelId,channelTitle,40,2022-06-16T00:00:00Z,sad,12770,2796922,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
50,title 20,publishedAt,channelId,channelTitle,24,2022-10-30T00:00:00Z,reallyfunny,14332,792906,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
49,title 21,publishedAt,channelId,channelTitle,36,2022-02-07T00:00:00Z,funny,16569,517743,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
13,title 22,publishedAt,channelId,channelTitle,26,2022-06-01T00:00:00Z,funny,6276,1272051,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
