video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 0,publishedAt,channelId,channelTitle,43,2021-12-04T00:00:00Z,sad,11244,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
3,title 1,publishedAt,channelId,channelTitle,41,2022-06-10T00:00:00Z,funny,12191,3982139,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
51,title 2,publishedAt,channelId,channelTitle,22,2022-07-17T00:00:00Z,sad,2304,3205839,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
36,title 3,publishedAt,channelId,channelTitle,30,2022-08-16T00:00:00Z,reallyfunny,12,2984934,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
49,title 4,publishedAt,channelId,channelTitle,33,2022-07-04T00:00:00Z,funny,7298,1890936,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
26,title 5,publishedAt,channelId,channelTitle,24,2022-05-12T00:00:00Z,sad,7837,1908082,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
36,title 6,publishedAt,channelId,channelTitle,34,2022-02-12T00:00:00Z,funny,5535,282638,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 7,publishedAt,channelId,channelTitle,30,2022-08-11T00:00:00Z,reallyfunny,2219,513075,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 8,publishedAt,channelId,channelTitle,39,2022-06-11T00:00:00Z,reallyfunny,6449,604463,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
33,title 9,publishedAt,channelId,channelTitle,40,2022-11-08T00:00:00Z,sad,3018,2626751,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
9,title 10,publishedAt,channelId,channelTitle,23,2022-07-09T00:00:00Z,sad,6491,759437,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 11,publishedAt,channelId,channelTitle,19,2022-09-24T00:00:00Z,funny,4215,967796,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
29,title 12,publishedAt,channelId,channelTitle,34,2022-06-08T00:00:00Z,reallyfunny,19642,2394582,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 13,publishedAt,channelId,channelTitle,17,2022-05-26T00:00:00Z,sad,11836,1288714,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
23,title 14,publishedAt,channelId,channelTitle,20,2022-10-25T00:00:00Z,funny,7189,1546796,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
24,title 15,publishedAt,channelId,channelTitle,41,2021-12-25T00:00:00Z,sad,18215,1229804,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
0,title 16,publishedAt,channelId,channelTitle,20,2022-03-27T00:00:00Z,sad,11095,2545121,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
