video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
33,title 0,publishedAt,channelId,channelTitle,10,2022-11-14T00:00:00Z,sad,19747,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
21,title 1,publishedAt,channelId,channelTitle,38,2021-12-09T00:00:00Z,funny,16600,2734993,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 2,publishedAt,channelId,channelTitle,36,2022-06-19T00:00:00Z,reallyfunny,5812,1102387,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
14,title 3,publishedAt,channelId,channelTitle,27,2022-02-17T00:00:00Z,funny,5947,3413696,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 4,publishedAt,channelId,channelTitle,21,2022-04-27T00:00:00Z,sad,2822,3572526,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 5,publishedAt,channelId,channelTitle,34,2022-02-16T00:00:00Z,reallyfunny,9652,154471,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
21,title 6,publishedAt,channelId,channelTitle,19,2022-08-24T00:00:00Z,sad,4233,2600987,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 7,publishedAt,channelId,channelTitle,21,2022-06-10T00:00:00Z,reallyfunny,13263,3551478,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
42,title 8,publishedAt,channelId,channelTitle,26,2022-05-24T00:00:00Z,reallyfunny,3803,3297015,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
24,title 9,publishedAt,channelId,channelTitle,38,2022-03-13T00:00:00Z,sad,15388,3283237,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
42,title 10,publishedAt,channelId,channelTitle,1,2022-05-18T00:00:00Z,reallyfunny,8374,3352480,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
51,title 11,publishedAt,channelId,channelTitle,31,2022-08-11T00:00:00Z,sad,7330,2004473,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 12,publishedAt,channelId,channelTitle,10,2021-12-09T00:00:00Z,reallyfunny,19138,711352,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
44,title 13,publishedAt,channelId,channelTitle,34,2021-11-17T00:00:00Z,sad,11322,1217533,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 14,publishedAt,channelId,channelTitle,15,2022-06-11T00:00:00Z,reallyfunny,11780,689798,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
47,title 15,publishedAt,channelId,channelTitle,26,2021-12-26T00:00:00Z,reallyfunny,17538,1511852,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
33,title 16,publishedAt,channelId,channelTitle,2,2022-09-25T00:00:00Z,funny,17468,1997636,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
60,title 17,publishedAt,channelId,channelTitle,24,2022-08-01T00:00:00Z,reallyfunny,9605,1277355,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
