video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
21,title 0,publishedAt,channelId,channelTitle,20,2022-01-15T00:00:00Z,funny,11959,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
21,title 1,publishedAt,channelId,channelTitle,17,2022-01-30T00:00:00Z,funny,4900,601053,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
12,title 2,publishedAt,channelId,channelTitle,10,2022-01-21T00:00:00Z,funny,13703,234997,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 3,publishedAt,channelId,channelTitle,32,2022-10-29T00:00:00Z,reallyfunny,13027,1684025,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
36,title 4,publishedAt,channelId,channelTitle,39,2022-04-19T00:00:00Z,funny,6743,703265,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 5,publishedAt,channelId,channelTitle,26,2022-05-16T00:00:00Z,reallyfunny,13603,3808678,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
29,title 6,publishedAt,channelId,channelTitle,41,2022-01-08T00:00:00Z,funny,18958,1927475,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
13,title 7,publishedAt,channelId,channelTitle,30,2021-12-13T00:00:00Z,reallyfunny,10188,533433,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
32,title 8,publishedAt,channelId,channelTitle,34,2022-10-19T00:00:00Z,reallyfunny,12964,1828796,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
43,title 9,publishedAt,channelId,channelTitle,30,2022-07-16T00:00:00Z,sad,12678,1421534,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
26,title 10,publishedAt,channelId,channelTitle,39,2022-04-25T00:00:00Z,reallyfunny,3303,2170133,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 11,publishedAt,channelId,channelTitle,28,2022-10-20T00:00:00Z,reallyfunny,11934,62722,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
37,title 12,publishedAt,channelId,channelTitle,27,2022-10-26T00:00:00Z,sad,5259,1691945,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
