video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
29,title 0,publishedAt,channelId,channelTitle,25,2021-12-03T00:00:00Z,funny,4241,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 1,publishedAt,channelId,channelTitle,29,2021-12-04T00:00:00Z,reallyfunny,19957,1301272,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 2,publishedAt,channelId,channelTitle,26,2022-03-23T00:00:00Z,sad,10016,1720409,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
28,title 3,publishedAt,channelId,channelTitle,35,2021-12-22T00:00:00Z,reallyfunny,12447,630120,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
9,title 4,publishedAt,channelId,channelTitle,18,2021-12-10T00:00:00Z,sad,2010,546130,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 5,publishedAt,channelId,channelTitle,30,2022-03-17T00:00:00Z,sad,3831,3914973,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
60,title 6,publishedAt,channelId,channelTitle,29,2022-01-30T00:00:00Z,funny,426,80457,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
36,title 7,publishedAt,channelId,channelTitle,44,2022-05-04T00:00:00Z,reallyfunny,7836,1546007,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
58,title 8,publishedAt,channelId,channelTitle,27,2022-08-19T00:00:00Z,reallyfunny,218,1076347,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
55,title 9,publishedAt,channelId,channelTitle,27,2022-01-12T00:00:00Z,reallyfunny,18095,3622743,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 10,publishedAt,channelId,channelTitle,24,2022-07-09T00:00:00Z,sad,13376,212513,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
41,title 11,publishedAt,channelId,channelTitle,39,2022-10-07T00:00:00Z,reallyfunny,9578,3653169,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
41,title 12,publishedAt,channelId,channelTitle,2,2022-10-18T00:00:00Z,sad,18690,2265891,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 13,publishedAt,channelId,channelTitle,25,2022-03-06T00:00:00Z,funny,13934,642030,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
37,title 14,publishedAt,channelId,channelTitle,44,2022-06-14T00:00:00Z,sad,7463,3980686,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 15,publishedAt,channelId,channelTitle,23,2022-02-20T00:00:00Z,sad,12726,3374495,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
15,title 16,publishedAt,channelId,channelTitle,17,2022-09-17T00:00:00Z,funny,9380,1188728,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
42,title 17,publishedAt,channelId,channelTitle,17,2022-07-25T00:00:00Z,sad,15975,2662674,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
24,title 18,publishedAt,channelId,channelTitle,39,2022-09-16T00:00:00Z,sad,5606,71428,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
13,title 19,publishedAt,channelId,channelTitle,25,2022-04-28T00:00:00Z,funny,15646,1704407,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
19,title 20,publishedAt,channelId,channelTitle,31,2022-05-22T00:00:00Z,sad,4302,365765,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
4,title 21,publishedAt,channelId,channelTitle,36,2022-07-12T00:00:00Z,reallyfunny,7077,1524796,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
60,title 22,publishedAt,channelId,channelTitle,33,2022-08-25T00:00:00Z,funny,2708,616249,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
2,title 23,publishedAt,channelId,channelTitle,18,2022-11-14T00:00:00Z,funny,536,2644553,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
20,title 24,publishedAt,channelId,channelTitle,26,2022-02-06T00:00:00Z,reallyfunny,13736,1884089,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
25,title 25,publishedAt,channelId,channelTitle,43,2022-03-12T00:00:00Z,funny,18012,2232119,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 26,publishedAt,channelId,channelTitle,22,2022-07-21T00:00:00Z,reallyfunny,14614,1932473,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
43,title 27,publishedAt,channelId,channelTitle,41,2022-02-17T00:00:00Z,sad,19599,3900580,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
55,title 28,publishedAt,channelId,channelTitle,36,2022-08-20T00:00:00Z,funny,10783,1277426,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 29,publishedAt,channelId,channelTitle,22,2022-05-14T00:00:00Z,sad,4243,1523136,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 30,publishedAt,channelId,channelTitle,26,2022-04-19T00:00:00Z,sad,2577,2952773,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 31,publishedAt,channelId,channelTitle,22,2022-03-14T00:00:00Z,reallyfunny,15337,3464147,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
7,title 32,publishedAt,channelId,channelTitle,42,2022-04-15T00:00:00Z,reallyfunny,887,3434347,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 33,publishedAt,channelId,channelTitle,18,2022-03-13T00:00:00Z,funny,7304,3445181,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
