video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
22,title 0,publishedAt,channelId,channelTitle,33,2021-12-18T00:00:00Z,sad,12399,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
20,title 1,publishedAt,channelId,channelTitle,25,2022-04-14T00:00:00Z,reallyfunny,8709,3159744,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 2,publishedAt,channelId,channelTitle,42,2022-09-29T00:00:00Z,funny,5914,3748197,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 3,publishedAt,channelId,channelTitle,33,2022-01-07T00:00:00Z,sad,18551,324644,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
55,title 4,publishedAt,channelId,channelTitle,18,2022-07-16T00:00:00Z,funny,5718,205989,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
56,title 5,publishedAt,channelId,channelTitle,39,2022-05-21T00:00:00Z,reallyfunny,3406,3400329,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
23,title 6,publishedAt,channelId,channelTitle,36,2022-06-10T00:00:00Z,sad,500,3228116,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 7,publishedAt,channelId,channelTitle,25,2022-03-14T00:00:00Z,funny,6644,479281,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 8,publishedAt,channelId,channelTitle,15,2022-02-24T00:00:00Z,reallyfunny,10094,209554,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 9,publishedAt,channelId,channelTitle,19,2022-05-03T00:00:00Z,funny,15049,1601644,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 10,publishedAt,channelId,channelTitle,2,2022-01-26T00:00:00Z,funny,3848,766224,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
36,title 11,publishedAt,channelId,channelTitle,36,2022-05-11T00:00:00Z,reallyfunny,13170,1634469,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
9,title 12,publishedAt,channelId,channelTitle,18,2021-12-17T00:00:00Z,funny,4339,1479590,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
22,title 13,publishedAt,channelId,channelTitle,42,2022-07-22T00:00:00Z,sad,3516,2952235,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 14,publishedAt,channelId,channelTitle,24,2022-01-19T00:00:00Z,sad,7595,3836613,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
45,title 15,publishedAt,channelId,channelTitle,25,2022-01-05T00:00:00Z,reallyfunny,2617,1105389,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
32,title 16,publishedAt,channelId,channelTitle,32,2022-07-12T00:00:00Z,reallyfunny,18121,10722,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 17,publishedAt,channelId,channelTitle,27,2022-11-09T00:00:00Z,reallyfunny,16118,2855052,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
15,title 18,publishedAt,channelId,channelTitle,23,2022-03-14T00:00:00Z,sad,13650,709134,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 19,publishedAt,channelId,channelTitle,1,2022-03-23T00:00:00Z,reallyfunny,3274,1219325,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
14,title 20,publishedAt,channelId,channelTitle,26,2022-07-09T00:00:00Z,reallyfunny,4432,191713,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 21,publishedAt,channelId,channelTitle,40,2021-11-30T00:00:00Z,funny,10093,415060,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 22,publishedAt,channelId,channelTitle,33,2022-10-02T00:00:00Z,funny,19033,3870997,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
15,title 23,publishedAt,channelId,channelTitle,28,2022-10-25T00:00:00Z,sad,1411,2277046,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 24,publishedAt,channelId,channelTitle,33,2022-01-23T00:00:00Z,funny,18976,2444670,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
26,title 25,publishedAt,channelId,channelTitle,17,2022-08-18T00:00:00Z,funny,11711,2150477,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
33,title 26,publishedAt,channelId,channelTitle,39,2021-12-11T00:00:00Z,funny,3447,2180510,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
15,title 27,publishedAt,channelId,channelTitle,25,2022-10-02T00:00:00Z,reallyfunny,10994,1947243,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
32,title 28,publishedAt,channelId,channelTitle,23,2022-05-12T00:00:00Z,reallyfunny,15035,2205924,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
57,title 29,publishedAt,channelId,channelTitle,41,2022-09-07T00:00:00Z,funny,4087,2690374,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
12,title 30,publishedAt,channelId,channelTitle,43,2022-01-08T00:00:00Z,sad,6318,833686,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
33,title 31,publishedAt,channelId,channelTitle,10,2021-12-01T00:00:00Z,sad,16268,37269,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 32,publishedAt,channelId,channelTitle,42,2022-10-11T00:00:00Z,reallyfunny,9363,3443776,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
16,title 33,publishedAt,channelId,channelTitle,38,2022-01-15T00:00:00Z,sad,8081,956378,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 34,publishedAt,channelId,channelTitle,41,2021-11-23T00:00:00Z,funny,3972,2337190,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
9,title 35,publishedAt,channelId,channelTitle,23,2022-02-16T00:00:00Z,sad,8226,802276,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
26,title 36,publishedAt,channelId,channelTitle,42,2022-04-08T00:00:00Z,reallyfunny,4009,741513,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
13,title 37,publishedAt,channelId,channelTitle,33,2022-01-17T00:00:00Z,reallyfunny,10838,251845,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
57,title 38,publishedAt,channelId,channelTitle,32,2022-03-19T00:00:00Z,sad,4521,3232491,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 39,publishedAt,channelId,channelTitle,43,2022-02-04T00:00:00Z,sad,11353,2441151,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
23,title 40,publishedAt,channelId,channelTitle,17,2022-05-09T00:00:00Z,reallyfunny,14995,3216225,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
28,title 41,publishedAt,channelId,channelTitle,35,2022-02-05T00:00:00Z,sad,12280,401535,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
7,title 42,publishedAt,channelId,channelTitle,24,2022-04-08T00:00:00Z,funny,4442,77962,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
5,title 43,publishedAt,channelId,channelTitle,1,2022-04-05T00:00:00Z,reallyfunny,6801,1454511,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
31,title 44,publishedAt,channelId,channelTitle,24,2022-10-27T00:00:00Z,sad,18777,943407,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
25,title 45,publishedAt,channelId,channelTitle,24,2022-09-03T00:00:00Z,sad,2304,1917262,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
31,title 46,publishedAt,channelId,channelTitle,30,2022-01-21T00:00:00Z,funny,2315,3892976,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
7,title 47,publishedAt,channelId,channelTitle,34,2022-09-18T00:00:00Z,reallyfunny,17463,2508100,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
