video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 0,publishedAt,channelId,channelTitle,22,2022-05-27T00:00:00Z,reallyfunny,14659,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
19,title 1,publishedAt,channelId,channelTitle,38,2021-12-21T00:00:00Z,reallyfunny,17867,2179102,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
30,title 2,publishedAt,channelId,channelTitle,36,2022-03-18T00:00:00Z,funny,10792,1878365,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
15,title 3,publishedAt,channelId,channelTitle,42,2022-01-06T00:00:00Z,reallyfunny,11218,3633744,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
1,title 4,publishedAt,channelId,channelTitle,33,2022-01-08T00:00:00Z,sad,17379,2335527,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
30,title 5,publishedAt,channelId,channelTitle,41,2022-09-30T00:00:00Z,sad,18767,3934992,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
56,title 6,publishedAt,channelId,channelTitle,15,2022-05-04T00:00:00Z,funny,844,1102410,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
59,title 7,publishedAt,channelId,channelTitle,28,2022-10-05T00:00:00Z,sad,7507,1922089,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
55,title 8,publishedAt,channelId,channelTitle,26,2022-11-01T00:00:00Z,sad,7446,110522,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
59,title 9,publishedAt,channelId,channelTitle,38,2022-03-12T00:00:00Z,sad,11385,2684706,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
