video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
16,title 0,publishedAt,channelId,channelTitle,21,2021-11-18T00:00:00Z,sad,18140,5000000,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
30,title 1,publishedAt,channelId,channelTitle,17,2022-06-11T00:00:00Z,reallyfunny,11630,815218,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
38,title 2,publishedAt,channelId,channelTitle,30,2022-06-04T00:00:00Z,sad,12523,1684007,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
57,title 3,publishedAt,channelId,channelTitle,41,2022-04-17T00:00:00Z,sad,15466,2258498,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
20,title 4,publishedAt,channelId,channelTitle,19,2022-08-29T00:00:00Z,funny,15379,3150889,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
2,title 5,publishedAt,channelId,channelTitle,31,2022-05-12T00:00:00Z,funny,13712,3639426,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
26,title 6,publishedAt,channelId,channelTitle,19,2021-12-04T00:00:00Z,funny,17362,3616403,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
12,title 7,publishedAt,channelId,channelTitle,43,2022-02-20T00:00:00Z,reallyfunny,16543,2460003,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
52,title 8,publishedAt,channelId,channelTitle,24,2022-01-30T00:00:00Z,funny,17404,3271379,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
37,title 9,publishedAt,channelId,channelTitle,43,2022-03-16T00:00:00Z,sad,6180,153558,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
58,title 10,publishedAt,channelId,channelTitle,41,2022-06-03T00:00:00Z,sad,7312,211318,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
7,title 11,publishedAt,channelId,channelTitle,20,2022-09-25T00:00:00Z,reallyfunny,9298,3510883,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
50,title 12,publishedAt,channelId,channelTitle,44,2022-03-06T00:00:00Z,funny,3386,3397103,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
42,title 13,publishedAt,channelId,channelTitle,24,2022-02-01T00:00:00Z,funny,17440,2702101,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
0,title 14,publishedAt,channelId,channelTitle,23,2022-07-22T00:00:00Z,sad,11714,1218560,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 15,publishedAt,channelId,channelTitle,32,2022-03-17T00:00:00Z,funny,14945,3723357,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
57,title 16,publishedAt,channelId,channelTitle,17,2022-07-03T00:00:00Z,funny,6057,2398312,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
45,title 17,publishedAt,channelId,channelTitle,33,2022-02-22T00:00:00Z,reallyfunny,1786,3926604,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
56,title 18,publishedAt,channelId,channelTitle,1,2022-02-22T00:00:00Z,reallyfunny,3334,1807907,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
14,title 19,publishedAt,channelId,channelTitle,34,2022-05-26T00:00:00Z,funny,13804,764006,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
47,title 20,publishedAt,channelId,channelTitle,18,2022-07-20T00:00:00Z,sad,7772,3347795,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
8,title 21,publishedAt,channelId,channelTitle,25,2022-08-29T00:00:00Z,funny,17438,3347552,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
29,title 22,publishedAt,channelId,channelTitle,37,2022-09-06T00:00:00Z,funny,18705,2262949,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
44,title 23,publishedAt,channelId,channelTitle,10,2022-03-12T00:00:00Z,sad,3955,2975064,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
24,title 24,publishedAt,channelId,channelTitle,18,2022-03-18T00:00:00Z,sad,18979,3344851,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
