video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
6,title 0,publishedAt,channelId,channelTitle,22,2022-06-18T00:00:00Z,reallyfunny,13793,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
6,title 1,publishedAt,channelId,channelTitle,19,2022-07-13T00:00:00Z,reallyfunny,17624,2862816,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
51,title 2,publishedAt,channelId,channelTitle,27,2022-06-16T00:00:00Z,reallyfunny,19796,562745,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
4,title 3,publishedAt,channelId,channelTitle,41,2022-04-18T00:00:00Z,reallyfunny,7397,212220,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
27,title 4,publishedAt,channelId,channelTitle,30,2022-08-19T00:00:00Z,sad,9821,2367053,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
33,title 5,publishedAt,channelId,channelTitle,21,2022-10-04T00:00:00Z,funny,258,1193509,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
54,title 6,publishedAt,channelId,channelTitle,1,2022-03-20T00:00:00Z,reallyfunny,6710,2994213,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
56,title 7,publishedAt,channelId,channelTitle,42,2022-05-14T00:00:00Z,funny,16313,1198096,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
11,title 8,publishedAt,channelId,channelTitle,34,2022-10-05T00:00:00Z,sad,3702,1051709,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
15,title 9,publishedAt,channelId,channelTitle,40,2022-06-07T00:00:00Z,reallyfunny,16447,2637509,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
5,title 10,publishedAt,channelId,channelTitle,39,2022-04-07T00:00:00Z,sad,14989,2622493,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
16,title 11,publishedAt,channelId,channelTitle,34,2022-11-16T00:00:00Z,funny,14654,1718795,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
58,title 12,publishedAt,channelId,channelTitle,27,2022-01-12T00:00:00Z,funny,4202,415979,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
25,title 13,publishedAt,channelId,channelTitle,32,2022-08-29T00:00:00Z,funny,10768,1938599,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
38,title 14,publishedAt,channelId,channelTitle,32,2022-04-15T00:00:00Z,sad,1271,2117284,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
8,title 15,publishedAt,channelId,channelTitle,30,2022-11-16T00:00:00Z,funny,14559,2276840,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
16,title 16,publishedAt,channelId,channelTitle,31,2022-11-03T00:00:00Z,funny,12679,576415,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
46,title 17,publishedAt,channelId,channelTitle,28,2022-08-01T00:00:00Z,funny,5199,3512499,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
1,title 18,publishedAt,channelId,channelTitle,41,2022-10-22T00:00:00Z,reallyfunny,8731,1513225,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,comments_disabled,ratings_disabled,description
