video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
46,title 0,publishedAt,channelId,channelTitle,19,2022-02-14T00:00:00Z,funny,8005,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
12,title 1,publishedAt,channelId,channelTitle,41,2022-05-24T00:00:00Z,sad,18132,3043323,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
32,title 2,publishedAt,channelId,channelTitle,34,2021-12-07T00:00:00Z,reallyfunny,10778,1845981,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
25,title 3,publishedAt,channelId,channelTitle,28,2022-09-15T00:00:00Z,funny,15802,2856247,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
5,title 4,publishedAt,channelId,channelTitle,42,2022-09-28T00:00:00Z,funny,18926,1639976,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
16,title 5,publishedAt,channelId,channelTitle,25,2022-07-31T00:00:00Z,funny,4011,3918114,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
24,title 6,publishedAt,channelId,channelTitle,1,2022-10-17T00:00:00Z,funny,5066,1813456,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
12,title 7,publishedAt,channelId,channelTitle,31,2021-11-22T00:00:00Z,sad,17417,1715903,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
42,title 8,publishedAt,channelId,channelTitle,37,2022-07-03T00:00:00Z,sad,3905,3613418,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
54,title 9,publishedAt,channelId,channelTitle,37,2022-06-15T00:00:00Z,funny,3723,3933570,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
49,title 10,publishedAt,channelId,channelTitle,10,2021-11-18T00:00:00Z,sad,18276,2979788,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
49,title 11,publishedAt,channelId,channelTitle,38,2022-11-14T00:00:00Z,funny,14402,397689,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
29,title 12,publishedAt,channelId,channelTitle,24,2022-06-30T00:00:00Z,funny,9583,886300,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
1,title 13,publishedAt,channelId,channelTitle,40,2022-07-25T00:00:00Z,funny,18690,3381924,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
13,title 14,publishedAt,channelId,channelTitle,36,2022-03-04T00:00:00Z,reallyfunny,14358,3063030,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
13,title 15,publishedAt,channelId,channelTitle,28,2022-03-31T00:00:00Z,funny,17956,3764984,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
4,title 16,publishedAt,channelId,channelTitle,23,2022-09-11T00:00:00Z,reallyfunny,6949,1612849,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
53,title 17,publishedAt,channelId,channelTitle,43,2022-02-16T00:00:00Z,reallyfunny,13380,1346428,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 18,publishedAt,channelId,channelTitle,43,2022-10-18T00:00:00Z,reallyfunny,11679,1249821,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 19,publishedAt,channelId,channelTitle,2,2022-02-04T00:00:00Z,sad,6015,1385064,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
28,title 20,publishedAt,channelId,channelTitle,25,2021-12-03T00:00:00Z,sad,14044,2575992,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
59,title 21,publishedAt,channelId,channelTitle,40,2022-02-01T00:00:00Z,funny,548,877082,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
43,title 22,publishedAt,channelId,channelTitle,21,2022-04-14T00:00:00Z,reallyfunny,3670,3733257,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
4,title 23,publishedAt,channelId,channelTitle,38,2022-06-17T00:00:00Z,sad,12369,1936503,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 24,publishedAt,channelId,channelTitle,34,2022-10-11T00:00:00Z,sad,18403,1259313,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 25,publishedAt,channelId,channelTitle,23,2022-04-13T00:00:00Z,sad,416,3832201,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
37,title 26,publishedAt,channelId,channelTitle,19,2022-04-16T00:00:00Z,sad,11477,2871755,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 27,publishedAt,channelId,channelTitle,44,2022-07-01T00:00:00Z,sad,1173,3417677,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
29,title 28,publishedAt,channelId,channelTitle,28,2022-06-03T00:00:00Z,funny,10956,928817,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
23,title 29,publishedAt,channelId,channelTitle,21,2022-03-30T00:00:00Z,reallyfunny,3328,511528,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
1,title 30,publishedAt,channelId,channelTitle,15,2022-08-04T00:00:00Z,funny,17489,2807962,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
24,title 31,publishedAt,channelId,channelTitle,42,2022-01-30T00:00:00Z,sad,19018,352231,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 32,publishedAt,channelId,channelTitle,33,2021-12-29T00:00:00Z,funny,2239,1384601,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
9,title 33,publishedAt,channelId,channelTitle,10,2022-04-04T00:00:00Z,sad,3807,3306288,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 34,publishedAt,channelId,channelTitle,21,2022-04-22T00:00:00Z,sad,8128,494797,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
57,title 35,publishedAt,channelId,channelTitle,34,2022-02-23T00:00:00Z,sad,14409,2783888,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
14,title 36,publishedAt,channelId,channelTitle,32,2022-09-04T00:00:00Z,reallyfunny,2308,701968,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
36,title 37,publishedAt,channelId,channelTitle,22,2022-07-09T00:00:00Z,sad,13605,3017596,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
7,title 38,publishedAt,channelId,channelTitle,17,2022-06-04T00:00:00Z,reallyfunny,9872,2146160,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
6,title 39,publishedAt,channelId,channelTitle,40,2022-10-30T00:00:00Z,sad,7183,1840460,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
33,title 40,publishedAt,channelId,channelTitle,28,2022-01-11T00:00:00Z,sad,18649,2375261,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
52,title 41,publishedAt,channelId,channelTitle,39,2021-12-16T00:00:00Z,sad,7669,508807,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
0,title 42,publishedAt,channelId,channelTitle,44,2022-07-16T00:00:00Z,funny,2425,1629374,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
50,title 43,publishedAt,channelId,channelTitle,25,2021-11-23T00:00:00Z,funny,5327,183742,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 44,publishedAt,channelId,channelTitle,39,2022-07-28T00:00:00Z,sad,195,2404346,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 45,publishedAt,channelId,channelTitle,36,2022-09-13T00:00:00Z,funny,17792,462944,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
22,title 46,publishedAt,channelId,channelTitle,15,2022-05-28T00:00:00Z,sad,16791,3980332,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
38,title 47,publishedAt,channelId,channelTitle,19,2022-05-22T00:00:00Z,funny,3159,2905368,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
48,title 48,publishedAt,channelId,channelTitle,24,2022-06-13T00:00:00Z,reallyfunny,5402,3312703,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
25,title 49,publishedAt,channelId,channelTitle,21,2022-10-01T00:00:00Z,reallyfunny,12494,2689483,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
22,title 50,publishedAt,channelId,channelTitle,30,2021-11-25T00:00:00Z,reallyfunny,107,2715274,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
45,title 51,publishedAt,channelId,channelTitle,26,2022-09-06T00:00:00Z,reallyfunny,11056,2588853,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
33,title 52,publishedAt,channelId,channelTitle,21,2021-12-21T00:00:00Z,sad,12989,538585,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
60,title 53,publishedAt,channelId,channelTitle,35,2022-09-28T00:00:00Z,sad,5302,2482016,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
39,title 54,publishedAt,channelId,channelTitle,38,2022-08-01T00:00:00Z,reallyfunny,375,1871716,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
5,title 55,publishedAt,channelId,channelTitle,22,2022-04-15T00:00:00Z,sad,7619,2445704,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
46,title 56,publishedAt,channelId,channelTitle,31,2022-08-19T00:00:00Z,sad,17364,955969,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
27,title 57,publishedAt,channelId,channelTitle,2,2022-04-25T00:00:00Z,sad,9446,1385057,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
22,title 58,publishedAt,channelId,channelTitle,18,2022-08-01T00:00:00Z,funny,9845,1710597,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
25,title 59,publishedAt,channelId,channelTitle,18,2022-09-01T00:00:00Z,funny,3734,417522,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
18,title 60,publishedAt,channelId,channelTitle,32,2022-08-15T00:00:00Z,sad,10611,181982,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 61,publishedAt,channelId,channelTitle,33,2021-12-04T00:00:00Z,funny,18269,1400539,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
21,title 62,publishedAt,channelId,channelTitle,18,2022-10-10T00:00:00Z,reallyfunny,12670,3130848,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
15,title 63,publishedAt,channelId,channelTitle,22,2022-07-14T00:00:00Z,sad,12891,2192776,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
3,title 64,publishedAt,channelId,channelTitle,24,2022-10-05T00:00:00Z,sad,17370,3008768,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 65,publishedAt,channelId,channelTitle,27,2022-08-14T00:00:00Z,sad,15141,1990652,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
20,title 66,publishedAt,channelId,channelTitle,23,2022-04-04T00:00:00Z,sad,11922,121228,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
25,title 67,publishedAt,channelId,channelTitle,2,2021-11-26T00:00:00Z,reallyfunny,3312,2927127,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
13,title 68,publishedAt,channelId,channelTitle,31,2021-12-27T00:00:00Z,sad,8583,3101647,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
56,title 69,publishedAt,channelId,channelTitle,41,2021-11-30T00:00:00Z,sad,6788,2005350,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 70,publishedAt,channelId,channelTitle,27,2022-07-17T00:00:00Z,reallyfunny,2488,1919403,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
19,title 71,publishedAt,channelId,channelTitle,2,2022-06-14T00:00:00Z,reallyfunny,4033,3357956,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 72,publishedAt,channelId,channelTitle,32,2022-04-30T00:00:00Z,funny,2582,3140232,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
6,title 73,publishedAt,channelId,channelTitle,19,2022-10-28T00:00:00Z,sad,18515,535211,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
26,title 74,publishedAt,channelId,channelTitle,18,2022-10-19T00:00:00Z,sad,10702,1709302,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
37,title 75,publishedAt,channelId,channelTitle,44,2021-12-24T00:00:00Z,funny,16517,1374032,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
0,title 76,publishedAt,channelId,channelTitle,15,2022-03-11T00:00:00Z,funny,19162,456330,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
35,title 77,publishedAt,channelId,channelTitle,24,2022-06-15T00:00:00Z,funny,11700,1169998,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
11,title 78,publishedAt,channelId,channelTitle,15,2021-12-24T00:00:00Z,sad,10167,3577200,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
5,title 79,publishedAt,channelId,channelTitle,15,2022-08-13T00:00:00Z,reallyfunny,2276,3897835,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
49,title 80,publishedAt,channelId,channelTitle,37,2022-06-10T00:00:00Z,sad,8006,3862087,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 81,publishedAt,channelId,channelTitle,17,2022-05-09T00:00:00Z,reallyfunny,3051,2214379,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
48,title 82,publishedAt,channelId,channelTitle,44,2022-03-17T00:00:00Z,sad,5279,3285241,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
