video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3,title 0,publishedAt,channelId,channelTitle,28,2022-11-09T00:00:00Z,reallyfunny,19380,5000000,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
53,title 1,publishedAt,channelId,channelTitle,37,2022-03-02T00:00:00Z,reallyfunny,12488,637031,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
40,title 2,publishedAt,channelId,channelTitle,37,2022-07-13T00:00:00Z,reallyfunny,535,2440247,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
24,title 3,publishedAt,channelId,channelTitle,32,2022-02-03T00:00:00Z,reallyfunny,2554,1148943,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
45,title 4,publishedAt,channelId,channelTitle,2,2022-07-21T00:00:00Z,funny,18047,2582882,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
42,title 5,publishedAt,channelId,channelTitle,10,2022-06-14T00:00:00Z,sad,3669,3364366,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
2,title 6,publishedAt,channelId,channelTitle,41,2022-03-31T00:00:00Z,sad,15452,362008,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
53,title 7,publishedAt,channelId,channelTitle,19,2022-05-26T00:00:00Z,reallyfunny,15807,2031426,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
41,title 8,publishedAt,channelId,channelTitle,20,2022-05-01T00:00:00Z,reallyfunny,8340,3053533,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
16,title 9,publishedAt,channelId,channelTitle,15,2022-04-22T00:00:00Z,funny,17921,851781,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
8,title 10,publishedAt,channelId,channelTitle,38,2022-02-16T00:00:00Z,reallyfunny,341,3635303,dislikes,comment_count,https://i.ytimg.com/vi/AkjqLJAs4Ds/default.jpg,comments_disabled,ratings_disabled,description
